swh ID 3   swh ID 4   swh ID 5   swh ID 6   swh ID 7   led ID 8   led ID 9   led ID 10   led ID 11   led ID 12   led ID 13   
   0          0          0          0          0          0          0          0          0          0          0       
   0          0          0          0          1          0          0          0          0          0          0       
   0          0          0          1          0          0          0          0          0          0          0       
   0          0          0          1          1          0          0          0          0          0          0       
   0          0          1          0          0          0          0          0          0          0          0       
   0          0          1          0          1          0          0          0          0          0          0       
   0          0          1          1          0          0          0          0          0          0          0       
   0          0          1          1          1          0          0          0          0          0          0       
   0          1          0          0          0          0          0          0          0          0          0       
   0          1          0          0          1          0          0          0          0          0          0       
   0          1          0          1          0          0          0          0          0          0          0       
   0          1          0          1          1          0          0          0          0          0          0       
   0          1          1          0          0          0          0          0          0          0          0       
   0          1          1          0          1          0          0          0          0          0          0       
   0          1          1          1          0          0          0          0          0          0          0       
   0          1          1          1          1          0          0          0          0          0          0       
   1          0          0          0          0          0          0          0          0          0          0       
   1          0          0          0          1          0          0          0          0          0          0       
   1          0          0          1          0          0          0          0          0          0          0       
   1          0          0          1          1          0          0          0          0          0          0       
   1          0          1          0          0          0          0          0          0          0          0       
   1          0          1          0          1          0          0          0          0          0          0       
   1          0          1          1          0          0          0          0          0          0          0       
   1          0          1          1          1          0          0          0          0          0          0       
   1          1          0          0          0          0          0          0          0          0          0       
   1          1          0          0          1          0          0          0          0          0          0       
   1          1          0          1          0          0          0          0          0          0          0       
   1          1          0          1          1          0          0          0          0          0          0       
   1          1          1          0          0          0          0          0          0          0          0       
   1          1          1          0          1          0          0          0          0          0          0       
   1          1          1          1          0          0          0          0          0          0          0       
   1          1          1          1          1          0          0          0          0          0          0       
